City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,chivhu,-19.0211,30.8922,11.41,58,0,2.44,ZW,1688880802
114,kone,-21.0595,164.8658,21.44,67,100,2.79,NC,1688880803
115,vilyuchinsk,52.9306,158.4028,17.15,84,72,3.57,RU,1688880557
116,santa ana de yacuma,-13.75,-65.4333,25.31,61,73,2.19,BO,1688880805
117,adra,36.7496,-3.0206,27.43,62,47,1.24,ES,1688880806
118,papao,-17.75,-149.55,26.82,77,17,10.66,PF,1688880808
119,sogndal,61.2283,7.1003,18.21,77,99,1.03,NO,1688880809
120,talnakh,69.4865,88.3972,16.23,88,100,0.76,RU,1688880810
121,kingston,17.997,-76.7936,28.53,83,20,1.23,JM,1688880638
122,richards bay,-28.783,32.0377,18.11,80,98,4.82,ZA,1688880813
123,punta arenas,-53.15,-70.9167,-0.94,86,0,5.66,CL,1688880814
124,nago,26.5881,127.9761,32.47,72,13,4.38,JP,1688880815
125,jamestown,42.097,-79.2353,19.8,88,75,2.06,US,1688880816
126,holualoa,19.6228,-155.9522,24.91,79,75,6.69,US,1688880817
127,fale old settlement,-9.3852,-171.2468,28.48,80,79,7.42,TK,1688880818
128,scarborough,54.2797,-0.4044,17.03,92,100,0.45,GB,1688880730
129,badger,64.8,-147.5333,19.43,51,0,2.57,US,1688880821
130,yugorsk,61.3133,63.3319,16.76,90,100,2.09,RU,1688880543
131,tobruk,32.0836,23.9764,25.06,83,22,7.86,LY,1688880823
132,biltine,14.5333,20.9167,28.11,51,85,3.14,TD,1688880824
133,fisterra,42.9049,-9.2629,14.86,85,91,3.38,ES,1688880826
134,geraldton,-28.7667,114.6,20.23,52,0,2.06,AU,1688880634
135,kenai,60.5544,-151.2583,11.05,87,100,3.6,US,1688880828
136,carnarvon,-24.8667,113.6333,22.36,34,1,3.8,AU,1688880829
137,dunedin,-45.8742,170.5036,10.45,96,94,1.79,NZ,1688880830
138,chos malal,-37.3781,-70.2709,3.68,78,13,2.25,AR,1688880832
139,san carlos de bariloche,-41.1456,-71.3082,2.91,87,75,6.69,AR,1688880833
140,guaraniacu,-25.1008,-52.8781,13.98,98,46,0.69,BR,1688880834
141,cabo san lucas,22.8909,-109.9124,29.78,80,9,1.34,MX,1688880835
142,thompson,55.7435,-97.8558,12.09,94,75,1.03,CA,1688880838
143,port lavaca,28.615,-96.6261,29.43,91,0,2.57,US,1688880839
144,chulakkurgan,43.765,69.1814,31.12,24,1,4.74,KZ,1688880840
145,buka,40.8108,69.1986,34.82,17,0,3.06,UZ,1688880841
146,amungan,15.3652,119.9582,29.92,73,100,2.81,PH,1688880842
147,tselinnoye,53.0833,85.6667,22.38,57,66,5.1,RU,1688880844
148,ta`u,-14.2336,-169.5144,27.7,79,85,5.62,AS,1688880845
149,lihue,21.9789,-159.3672,27.58,71,40,8.23,US,1688880846
150,saint-francois,46.4154,3.9054,19.82,94,0,0.0,FR,1688880847
151,den burg,53.0542,4.7972,22.2,90,100,2.57,NL,1688880848
152,sydney mines,46.2367,-60.2177,18.78,95,20,2.57,CA,1688880850
153,margate,51.3813,1.3862,18.16,87,98,2.37,GB,1688880851
154,ubari,26.5921,12.7805,28.29,27,25,4.5,LY,1688880852
155,seshcha,53.7361,33.3387,18.35,62,79,5.02,RU,1688880853
156,whitefish,48.4111,-114.3376,19.94,63,0,0.0,US,1688880855
157,messaad,34.1543,3.5031,30.59,19,0,0.7,DZ,1688880856
158,oppdal,62.5943,9.6912,15.97,68,100,0.82,NO,1688880857
159,college,64.8569,-147.8028,19.48,52,20,2.57,US,1688880858
160,callao,-12.0667,-77.15,21.16,73,100,6.69,PE,1688880860
161,somoto,13.4808,-86.5821,19.59,95,71,1.53,NI,1688880825
